,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,AT&T INC,COM,00206R102,1123050,32637320,SH,DFND,32637320,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
1,AT&T INC,COM,00206R102,450946,13105079,SH,DFND,13105079,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
2,AT&T INC,COM,00206R102,28723,834739,SH,DFND,834739,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
3,AMERICAN EXPRESS CO,COM,025816109,135771,1952142,SH,DFND,1952142,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
4,AMERICAN EXPRESS CO,COM,025816109,1198027,17225400,SH,DFND,17225400,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
5,AMERICAN EXPRESS CO,COM,025816109,58410,839832,SH,DFND,839832,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
6,AMERICAN EXPRESS CO,COM,025816109,143071,2057100,SH,DFND,2057100,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
7,AMERICAN EXPRESS CO,COM,025816109,556027,7994634,SH,DFND,7994634,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
8,AMERICAN EXPRESS CO,COM,025816109,8355868,120141879,SH,DFND,120141879,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
9,AMERICAN EXPRESS CO,COM,025816109,97350,1399713,SH,DFND,1399713,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
10,BANK OF NEW YORK MELLON CORP,COM,064058100,274793,6666492,SH,DFND,6666492,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
11,BANK OF NEW YORK MELLON CORP,COM,064058100,73945,1793915,SH,DFND,1793915,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
12,BANK OF NEW YORK MELLON CORP,COM,064058100,224459,5445384,SH,DFND,5445384,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
13,BANK OF NEW YORK MELLON CORP,COM,064058100,22672,550021,SH,DFND,550021,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
14,BANK OF NEW YORK MELLON CORP,COM,064058100,233157,5656400,SH,DFND,5656400,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
15,CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,516057,2818446,SH,DFND,2818446,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
16,CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,1366504,7463157,SH,DFND,7463157,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
17,COCA COLA CO,COM,191216100,34368,800000,SH,DFND,800000,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
18,COCA COLA CO,COM,191216100,3448966,80283200,SH,DFND,80283200,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
19,COCA COLA CO,COM,191216100,78359,1824000,SH,DFND,1824000,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
20,COCA COLA CO,COM,191216100,619105,14411200,SH,DFND,14411200,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
21,COCA COLA CO,COM,191216100,785240,18278400,SH,DFND,18278400,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
22,COCA COLA CO,COM,191216100,12024126,279891200,SH,DFND,279891200,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
23,COCA COLA CO,COM,191216100,152594,3552000,SH,DFND,3552000,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
24,COCA COLA CO,COM,191216100,41242,960000,SH,DFND,960000,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
25,COSTCO WHSL CORP NEW,COM,22160K105,699838,4333363,SH,DFND,4333363,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
26,DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1397831,20052088,SH,DFND,20052088,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
27,DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1290575,18513482,SH,DFND,18513482,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
28,DEERE & CO,COM,244199105,54892,719700,SH,DFND,719700,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
29,DEERE & CO,COM,244199105,176372,2312467,SH,DFND,2312467,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
30,DEERE & CO,COM,244199105,9165,120165,SH,DFND,120165,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
31,DEERE & CO,COM,244199105,1504946,19731818,SH,DFND,19731818,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
32,GENERAL ELECTRIC CO,COM,369604103,18344,588900,SH,DFND,588900,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
33,GENERAL ELECTRIC CO,COM,369604103,16682,535532,SH,DFND,535532,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
34,GENERAL ELECTRIC CO,COM,369604103,155697,4998302,SH,DFND,4998302,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
35,GENERAL ELECTRIC CO,COM,369604103,1112,35702,SH,DFND,35702,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
36,GENERAL ELECTRIC CO,COM,369604103,132343,4248556,SH,DFND,4248556,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
37,GENERAL ELECTRIC CO,COM,369604103,5561,178510,SH,DFND,178510,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
38,GENERAL MTRS CO,COM,37045V100,471510,13863853,SH,DFND,13863853,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
39,GENERAL MTRS CO,COM,37045V100,846414,24887209,SH,DFND,24887209,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
40,GENERAL MTRS CO,COM,37045V100,340486,10011338,SH,DFND,10011338,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
41,GENERAL MTRS CO,COM,37045V100,42091,1237600,SH,DFND,1237600,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
42,GOLDMAN SACHS GROUP INC,COM,38141G104,788681,4375968,SH,DFND,4375968,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
43,GOLDMAN SACHS GROUP INC,COM,38141G104,1186553,6583551,SH,DFND,6583551,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
44,GRAHAM HLDGS CO,COM,384637104,23359,48165,SH,DFND,0,0,48165,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
45,GRAHAM HLDGS CO,COM,384637104,28812,59410,SH,DFND,0,0,59410,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
46,INTERNATIONAL BUSINESS MACHS,COM,459200101,11626,84480,SH,DFND,84480,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
47,INTERNATIONAL BUSINESS MACHS,COM,459200101,38258,278000,SH,DFND,278000,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
48,INTERNATIONAL BUSINESS MACHS,COM,459200101,99264,721288,SH,DFND,721288,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
49,INTERNATIONAL BUSINESS MACHS,COM,459200101,70021,508800,SH,DFND,508800,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
50,INTERNATIONAL BUSINESS MACHS,COM,459200101,116027,843100,SH,DFND,843100,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
51,INTERNATIONAL BUSINESS MACHS,COM,459200101,10816627,78597782,SH,DFND,78597782,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
52,JOHNSON & JOHNSON,COM,478160104,33600,327100,SH,DFND,327100,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
53,KINDER MORGAN INC DEL,COM,49456B101,395880,26533525,SH,DFND,26533525,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
54,KRAFT HEINZ CO,COM,500754106,23693189,325634818,SH,DFND,325634818,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
55,LEE ENTERPRISES INC,COM,523768109,149,88863,SH,DFND,88863,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
56,LIBERTY MEDIA CORP DELAWARE,CL A,531229102,77126,1965000,SH,DFND,1965000,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
57,LIBERTY MEDIA CORP DELAWARE,CL A,531229102,187653,4780980,SH,DFND,4780980,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
58,LIBERTY MEDIA CORP DELAWARE,CL A,531229102,36636,933391,SH,DFND,933391,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
59,LIBERTY MEDIA CORP DELAWARE,CL A,531229102,4735,120629,SH,DFND,120629,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
60,LIBERTY MEDIA CORP DELAWARE,COM SER C,531229300,119381,3135000,SH,DFND,3135000,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
61,LIBERTY MEDIA CORP DELAWARE,COM SER C,531229300,439141,11532074,SH,DFND,11532074,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
62,LIBERTY MEDIA CORP DELAWARE,COM SER C,531229300,19370,508654,SH,DFND,508654,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
63,LIBERTY MEDIA CORP DELAWARE,COM SER C,531229300,8017,210529,SH,DFND,210529,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
64,M & T BK CORP,COM,55261F104,66164,546000,SH,DFND,546000,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
65,M & T BK CORP,COM,55261F104,19970,164795,SH,DFND,164795,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
66,M & T BK CORP,COM,55261F104,566061,4671245,SH,DFND,4671245,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
67,MASTERCARD INC,CL A,57636Q104,509169,5229756,SH,DFND,5229756,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
68,MEDIA GEN INC NEW,COM,58441K100,56062,3471309,SH,DFND,3471309,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
69,MONDELEZ INTL INC,CL A,609207105,25918,578000,SH,DFND,578000,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
70,MOODYS CORP,COM,615369105,1201464,11973928,SH,DFND,11973928,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
71,MOODYS CORP,COM,615369105,1273902,12695850,SH,DFND,12695850,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
72,NOW INC,COM,67011P100,10436,659694,SH,DFND,659694,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
73,NOW INC,COM,67011P100,18444,1165875,SH,DFND,1165875,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
74,PHILLIPS 66,COM,718546104,499144,6102000,SH,DFND,6102000,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
75,PHILLIPS 66,COM,718546104,9980,122000,SH,DFND,122000,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
76,PHILLIPS 66,COM,718546104,4416949,53996926,SH,DFND,53996926,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
77,PHILLIPS 66,COM,718546104,103559,1266000,SH,DFND,1266000,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
78,PRECISION CASTPARTS CORP,COM,740189105,349334,1505683,SH,DFND,1505683,0,0,2015-12-31,2015Q4,BERKSHIRE HATHAWAY INC,0001067983
